month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Mar-76,48.6,42.1,expansion,0.004132231,0.034042553,0.054229935,1,1,1,dark green,-0.00023629599999999695
Abr-76,48.8,42.3,expansion,0.004115226,0.023060797,0.049462366,1,1,1,dark green,-0.004767568999999999
May-76,49.2,42.3,expansion,0.008196721,0.016528926,0.053533191,1,1,1,dark green,0.004070825
Jun-76,49.3,42.5,expansion,0.00203252,0.014403292,0.04893617,1,1,1,dark green,-0.004597021
Jul-76,49.8,42.6,expansion,0.010141988,0.020491803,0.044025157,1,1,1,dark green,-0.004911012999999999
Ago-76,50.0,42.8,expansion,0.004016064,0.016260163,0.033057851,1,1,1,dark green,-0.010967306000000003
Set-76,50.4,42.9,expansion,0.008,0.022312373,0.037037037,1,1,1,dark green,0.003979186000000003
Oct-76,50.4,42.8,expansion,0.0,0.012048193,0.032786885,0,1,1,dark green,-0.004250152
Nov-76,50.9,43.2,expansion,0.009920635,0.018,0.034552846,1,1,1,dark green,0.0017659609999999965
Dic-76,51.4,43.6,expansion,0.009823183,0.01984127,0.042596349,1,1,1,dark green,0.008043503
Ene-77,51.4,43.4,expansion,0.0,0.01984127,0.032128514,0,1,1,dark green,-0.010467835000000002
Feb-77,51.7,43.8,expansion,0.005836576,0.015717092,0.034,1,1,1,dark green,0.0018714860000000055
Mar-77,52.5,44.1,expansion,0.015473888,0.021400778,0.041666667,1,1,1,dark green,0.007666666999999995
Abr-77,52.6,44.3,expansion,0.001904762,0.023346304,0.043650794,1,1,1,dark green,0.001984127000000002
May-77,52.9,44.5,expansion,0.005703422,0.023210832,0.039292731,1,1,1,dark green,-0.004358063000000002
Jun-77,53.3,44.8,expansion,0.007561437,0.015238095,0.036964981,1,1,1,dark green,-0.0023277499999999965
Jul-77,53.4,44.9,expansion,0.001876173,0.015209125,0.038910506,1,1,1,dark green,0.0019455249999999966
Ago-77,53.6,45.0,expansion,0.003745318,0.013232514,0.036750484,1,1,1,dark green,-0.0021600219999999976
Set-77,53.7,45.3,expansion,0.001865672,0.00750469,0.022857143,1,1,1,dark green,-0.013893341
Oct-77,53.8,45.5,expansion,0.001862197,0.007490637,0.022813688,1,1,1,dark green,-4.345500000000127e-05
Nov-77,54.0,45.8,expansion,0.003717472,0.007462687,0.020793951,1,1,1,dark green,-0.002019736999999997
Dic-77,54.1,46.0,expansion,0.001851852,0.00744879,0.015009381,1,1,1,dark green,-0.005784570000000001
Ene-78,53.8,45.6,expansion,-0.005545287,0.0,0.007490637,0,0,1,dark green,-0.007518744000000001
Feb-78,54.1,46.0,expansion,0.005576208,0.001851852,0.009328358,1,1,1,dark green,0.0018377210000000005
Mar-78,54.6,46.4,expansion,0.009242144,0.009242144,0.016759777,1,1,1,dark green,0.007431419
Abr-78,55.2,47.0,expansion,0.010989011,0.026022305,0.026022305,1,1,1,dark green,0.009262527999999999
May-78,55.5,47.1,expansion,0.005434783,0.025878004,0.027777778,1,1,1,dark green,0.0017554730000000004
Jun-78,55.7,47.4,expansion,0.003603604,0.02014652,0.029574861,1,1,1,dark green,0.0017970830000000014
Jul-78,55.6,47.4,expansion,-0.001795332,0.007246377,0.033457249,0,1,1,dark green,0.0038823880000000005
Ago-78,56.0,47.7,expansion,0.007194245,0.009009009,0.035120148,1,1,1,dark green,0.0016628989999999955
Set-78,56.2,47.7,expansion,0.003571429,0.008976661,0.029304029,1,1,1,dark green,-0.005816118999999998
Oct-78,56.3,48.0,expansion,0.001779359,0.012589928,0.019927536,1,1,1,dark green,-0.009376493
Nov-78,56.0,48.2,expansion,-0.005328597,0.0,0.009009009,0,0,1,dark green,-0.010918526999999999
Dic-78,56.0,48.4,expansion,0.0,-0.003558719,0.005385996,0,0,1,orange,-0.0036230130000000004
Ene-79,55.7,48.4,expansion,-0.005357143,-0.010657194,0.001798561,0,0,1,orange,-0.003587435
Feb-79,55.6,48.5,expansion,-0.001795332,-0.007142857,-0.007142857,0,0,0,orange,-0.008941418
Mar-79,56.1,48.9,expansion,0.008992806,0.001785714,-0.001779359,1,1,0,orange,0.0053634979999999995
