Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,23/06/1977,dark green,0.00159271,,,,,,
1,24/06/1977,dark green,0.005664875,,,,,,
1,27/06/1977,dark green,-0.002075294,,,,,,
1,28/06/1977,dark green,-0.008318518,,,,,,
1,29/06/1977,dark green,-0.000299569,,,,,,
1,30/06/1977,dark green,0.003695962,,,,,,
1,01/07/1977,dark green,-0.003781896,,,,,,
1,05/07/1977,dark green,-9.99221E-05,,,,,,
1,06/07/1977,dark green,-0.005095359,,,,,,
1,07/07/1977,dark green,0.003514747,,,,,,
1,08/07/1977,dark green,-0.001400975,,,,,,
1,11/07/1977,dark green,-0.002405029,,,,,,
1,12/07/1977,dark green,-0.001004582,,,,,,
1,13/07/1977,dark green,0.001407736,,,,,,
1,15/07/1977,dark green,0.00592433,,,,,,
1,18/07/1977,dark green,0.007686131,,,,,,
1,19/07/1977,dark green,0.008320991,,,,,,
1,20/07/1977,dark green,-0.000589424,,,,,,
1,21/07/1977,dark green,-0.001376262,,,,,,
1,22/07/1977,dark green,0.000787498,,,,,,
1,25/07/1977,dark green,-0.008065307,,,,,,
1,26/07/1977,dark green,-0.005751134,,,,,,
1,27/07/1977,dark green,-0.016256081,,,,,,
1,28/07/1977,dark green,0.001520697,,,,,,
1,29/07/1977,dark green,0.000607324,,,,,,
1,01/08/1977,dark green,0.002731455,,,,,,
1,02/08/1977,dark green,-0.006255072,,,,,,
1,03/08/1977,dark green,-0.001319769,,,,,,
1,04/08/1977,dark green,0.00376126,,,,,,
1,05/08/1977,dark green,0.000202596,,,,,,
1,08/08/1977,dark green,-0.007796722,,,,,,
1,09/08/1977,dark green,0.00061236,,,,,,
1,10/08/1977,dark green,0.008872974,,,,,,
1,11/08/1977,dark green,-0.007682921,,,,,,
1,12/08/1977,dark green,-0.002852551,,,,,,
1,15/08/1977,dark green,0.003065009,,,,,,
1,16/08/1977,dark green,-0.004583387,,,,,,
1,17/08/1977,dark green,0.000102266,,,,,,
1,18/08/1977,dark green,-0.000613848,,,,,,
1,19/08/1977,dark green,-0.001740358,,,,,,
1,22/08/1977,dark green,0.002871488,,,,,,
1,23/08/1977,dark green,-0.0017384,,,,,,
1,24/08/1977,dark green,-0.003995077,,,,,,
1,25/08/1977,dark green,-0.011107701,,,,,,
1,26/08/1977,dark green,-0.000936079,,,,,,
1,29/08/1977,dark green,0.008952744,,,,,,
1,30/08/1977,dark green,-0.005571615,,,,,,
1,31/08/1977,dark green,0.004046476,,,,,,
1,01/09/1977,dark green,0.000620081,,,,,,
1,02/09/1977,dark green,0.006402924,,,,,,
1,06/09/1977,dark green,0.002668057,,,,,,
1,07/09/1977,dark green,0.003070341,,,,,,
1,08/09/1977,dark green,-0.007448254,,,,,,
1,09/09/1977,dark green,-0.0093544,,,,,,
1,12/09/1977,dark green,-0.00352811,,,,,,
1,13/09/1977,dark green,0.000624779,,,,,,
1,14/09/1977,dark green,0.004787249,,,,,,
1,15/09/1977,dark green,0.002589332,,,,,,
1,16/09/1977,dark green,-0.003305782,,,,,,
1,19/09/1977,dark green,-0.006529901,,,,,,
1,20/09/1977,dark green,0.000417328,,,,,,
1,21/09/1977,dark green,-0.008238616,,,,,,
1,22/09/1977,dark green,-0.000105175,,,,,,
1,23/09/1977,dark green,-0.00052577,,,,,,
1,26/09/1977,dark green,0.003577402,,,,,,
1,27/09/1977,dark green,-0.001467807,,,,,,
1,28/09/1977,dark green,0.000734982,,,,,,
1,29/09/1977,dark green,0.005665732,,,,,,
1,30/09/1977,dark green,0.007094422,,,,,,
1,03/10/1977,dark green,0.00217548,,,,,,
